q,i,alpha_bar_frozen_i,ask_current,ask_leading_cara,bid_current,bid_leading_cara
-5,-1.8200000000000003,-0.03415818324153545,-0.8105252995718399,-0.7418318688066783,1.8513098716548775,1.7963442220455546
-5,-1.7999999999999998,-0.034085016462465666,-0.7968046250166911,-0.7286579466327497,1.8373273674402069,1.7827897906775807
-5,-1.7800000000000002,-0.03400902559275674,-0.7831000991083886,-0.7155045412895384,1.8233608674796362,1.7692549608035268
-5,-1.7599999999999998,-0.03393010829328912,-0.7694120715516106,-0.702370877180631,1.8094107855345771,1.7557392524570787
-5,-1.7400000000000002,-0.0338481590541382,-0.7557407744413438,-0.689256047109404,1.7954774183499806,1.7422420567154562
-5,-1.7199999999999998,-0.03376306914050395,-0.7420863175692296,-0.676159009769385,1.7815609409025401,1.7287626326629404
-5,-1.7000000000000002,-0.033674726541711573,-0.7284486837962034,-0.6630785873264943,1.767661401714691,1.7153001044440563
-5,-1.6799999999999997,-0.033583015923733264,-0.7148277245072725,-0.6500134631010119,1.7537787182504687,1.7018534584162068
-5,-1.6600000000000001,-0.03348781858571495,-0.7012231551652158,-0.6369621793582074,1.7399126724102087,1.6884215404125753
-5,-1.6399999999999997,-0.03338901242102532,-0.6876345509808631,-0.6239231352177296,1.7260629061419546,1.6750030531271838
-5,-1.62,-0.03328647188338038,-0.6740613427186121,-0.6108945846932176,1.7122289171884228,1.6615965536352446
-5,-1.5999999999999996,-0.033180067958632965,-0.6605028126567629,-0.597874634875013,1.6984100549893006,1.6482004510632122
-5,-1.58,-0.03306966814285442,-0.6469580907232976,-0.5848612442704926,1.6846055167596756,1.6348130044244304
-5,-1.5599999999999996,-0.03295513642737357,-0.6334261508286915,-0.5718522213182234,1.6708143437663578,1.6214323206377552
-5,-1.54,-0.03283633329147783,-0.6199058074184302,-0.558845223094056,1.6570354178249154,1.6080563527482286
-5,-1.5199999999999996,-0.032713115703520056,-0.6063957122688827,-0.5458377542292019,1.643267458041219,1.5946828983705883
-5,-1.5,-0.0325853371312152,-0.5928943515512808,-0.5328271660624957,1.6295090178223643,1.5813095983782812
-5,-1.4799999999999995,-0.032452847561950084,-0.5794000431895461,-0.5198106560512152,1.6157584821828153,1.567933935862541
-5,-1.46,-0.032315493533969404,-0.5659109345387792,-0.5067852674671685,1.6020140653726775,1.554553235388145
-5,-1.4399999999999995,-0.03217311817933941,-0.5524250004121926,-0.4937478894070995,1.5882738088559398,1.541164662574471
-5,-1.42,-0.03202556127962873,-0.5389400414852933,-0.4806952571489395,1.574535579667545,1.5277652240326385
-5,-1.3999999999999995,-0.03187265933528145,-0.5254536831070208,-0.467623952887838,1.5607970691790156,1.5143517676915887
-5,-1.38,-0.03171424564969189,-0.5119633745484691,-0.4545304068884116,1.5470557923032782,1.5009209835481045
-5,-1.3600000000000003,-0.03155015042902163,-0.4984663887206024,-0.44141089909200526,1.5333090871700739,1.4874694048778077
-5,-1.3399999999999999,-0.03138020089882748,-0.4849598223931444,-0.4282615612201378,1.5195541153041137,1.4739934099461873
-5,-1.3200000000000003,-0.031204221438593478,-0.47144059694741947,-0.4150783794174566,1.5057878623387015,1.4604892242605552
-5,-1.2999999999999998,-0.031022033735279033,-0.4579054596964505,-0.40185719747956006,1.4920071392980696,1.4469529234055405
-5,-1.2800000000000002,-0.03083345695700991,-0.44435098580598875,-0.38859372071280857,1.478208584482018,1.4333804365062217
-5,-1.2599999999999998,-0.03063830794804598,-0.4307735808503243,-0.3752835204746813,1.464388665986621,1.419767550364177
-5,-1.2400000000000002,-0.030436401446160492,-0.4171694840367825,-0.3619220394443516,1.4505436848947992,1.4061099143126525
-5,-1.2199999999999998,-0.030227550323557513,-0.4035347721325513,-0.34850459767372294,1.436669779170298,1.3924030458374663
-5,-1.2000000000000002,-0.030011565852437597,-0.38986536412709116,-0.3350263994693064,1.4227629282882093,1.3786423370103176
-5,-1.1799999999999997,-0.029788257996294,-0.3761570266626055,-0.32148254115473907,1.4088189586343998,1.3648230617805879
-5,-1.1600000000000001,-0.029557435727983583,-0.3624053802640776,-0.3078680197625536,1.394833549705246,1.3509403841706065
-5,-1.1399999999999997,-0.029318907375564696,-0.3486059063989756,-0.294177742701741,1.3808022411376655,1.3369893674174576
-5,-1.12,-0.02907248099683012,-0.334753955395044,-0.2804065384447848,1.3667204405977789,1.3229649841018376
-5,-1.0999999999999996,-0.02881796478338267,-0.3208447552424525,-0.26654916827395997,1.352583432554388,1.3088621273009813
-5,-1.08,-0.028555167495006036,-0.3068734213040506,-0.25260033912182545,1.338386387960964,1.2946756227983478
-5,-1.0599999999999996,-0.028283898924969967,-0.29283496695444317,-0.23855471753481866,1.3241243748668279,1.2804002423774077
-5,-1.04,-0.028003970396778658,-0.27872431516513624,-0.22440694478173634,1.3097923699747651,1.2660307182205568
-5,-1.0199999999999996,-0.027715195292720412,-0.26453631104895525,-0.21015165312049672,1.29538527115831,1.2515617584267442
-5,-1.0,-0.02741738961440754,-0.25026573537241525,-0.19578348322701206,1.2808979109474516,1.2369880636529584
-5,-0.9799999999999995,-0.027110372575303868,-0.2359073190395713,-0.18129710277913638,1.2663250709863973,1.2223043448750703
-5,-0.96,-0.026793967225026145,-0.2214557585452051,-0.16668722617661988,1.251661497461425,1.207505342252919
-5,-0.9399999999999995,-0.026468001104971287,-0.2069057323888813,-0.15194863536471534,1.236901917490566,1.1925858450727302
-5,-0.9199999999999999,-0.026132306934566907,-0.19225191843453873,-0.13707620171474316,1.2220410564600708,1.1775407127272615
-5,-0.8999999999999995,-0.025786723327164873,-0.17748901219277147,-0.12206490889949945,1.2070736562851483,1.1623648966803752
-5,-0.8799999999999999,-0.02543109553430047,-0.16261174599489772,-0.10690987668513635,1.1919944945644867,1.147053463348271
-5,-0.8600000000000003,-0.025065276216720542,-0.14761490901925742,-0.09160638554411313,1.1767984045894722,1.131601617814427
-5,-0.8399999999999999,-0.024689126240247404,-0.132493368121023,-0.07614990197630427,1.1614802961599366,1.1160047282796235
-5,-0.8200000000000003,-0.02430251549418989,-0.11724208940713858,-0.0605361044075127,1.146035177148666,1.1002583511324049
-5,-0.7999999999999998,-0.023905323729642564,-0.10185616048790197,-0.04476090951677194,1.1304581757468737,1.0843582565091916
-5,-0.7800000000000002,-0.023497441414631646,-0.08633081332627145,-0.028820498826242824,1.1147445633124655,1.0683004541972934
-5,-0.7599999999999998,-0.02307877060267247,-0.07066144759522083,-0.012711345370469354,1.0988897777322417,1.052081219718455
-5,-0.7400000000000002,-0.022649225810905282,-0.05484365444259544,0.003569759754308434,1.0828894471983432,1.035697120415693
-5,-0.7199999999999998,-0.022208734903574334,-0.03887324055192853,0.020025681174928305,1.0667394142883089,1.0191450413522372
-5,-0.7000000000000002,-0.021757239976217892,-0.022746252376830343,0.03665891358743552,1.0504357602272882,1.0024222108188208
-5,-0.6799999999999997,-0.021294698235545386,-0.006459000415869322,0.053471556903007506,1.0339748292002555,0.9855262252345255
-5,-0.6600000000000001,-0.02082108286960221,0.009991916615371292,0.07046529244080846,1.0173532525718318,0.9684550732173755
-5,-0.6399999999999997,-0.020336383902464093,0.026609587868121558,0.08764136042092271,1.0005679728615275,0.9512071585940135
-5,-0.6200000000000001,-0.019840609027373297,0.043396766862115355,0.10500053901334594,0.983616267313217,0.9337813221135595
-5,-0.5999999999999996,-0.01933378441192926,0.060355848575171345,0.12254312519850946,0.9664957708895007,0.9161768616292348
-5,-0.5800000000000001,-0.018815955468689555,0.07748884729750591,0.1402689176905279,0.9492044985146352,0.8983935505129763
-5,-0.5599999999999996,-0.018287187584324252,0.09479737543317523,0.15817720216625036,0.9317408663839523,0.880431654073053
-5,-0.54,-0.017747566800311677,0.11228262343493248,0.17626673903088116,0.91410371215355,0.862291943753037
-5,-0.5199999999999996,-0.017197200438065916,0.12994534106103683,0.19453575393454242,0.8962923138214786,0.8439757089022271
-5,-0.5,-0.016636217661360354,0.1477858201427463,0.21298193123341935,0.8783064071110985,0.8254847659230853
-5,-0.47999999999999954,-0.016064769968956057,0.16580387904942587,0.23160241056435196,0.860146201168676,0.8068214646201598
-5,-0.45999999999999996,-0.015483031610471262,0.18399884903404903,0.2503937866728641,0.8418123923909772,0.787988691597463
-5,-0.4399999999999995,-0.014891199918736853,0.20236956263545486,0.26935211260213393,0.8233061762045439,0.7689898705769692
-5,-0.41999999999999993,-0.014289495552182792,0.22091434430476883,0.2884729063144958,0.8046292566267589,0.7498289595397242
-5,-0.39999999999999947,-0.01367816264118808,0.23963100341205978,0.3077511607784287,0.7857838534495901,0.7305104446224554
-5,-0.3799999999999999,-0.013057468832809838,0.2585168297754129,0.32718135751307875,0.76677270690025,0.7110393307363044
-5,-0.3600000000000003,-0.012427705228878762,0.27756859183838406,0.3467574835401098,0.7475990796486922,0.6914211289096075
-5,-0.33999999999999986,-0.01178918621311339,0.29678253760321305,0.366473051649767,0.7282667560499574,0.6716618403930962
-5,-0.3200000000000003,-0.011142249163654996,0.31615439840651366,0.386321123845577,0.7087800385296258,0.6517679376026247
-5,-0.2999999999999998,-0.010487254048257268,0.33567939560157195,0.4062943377910226,0.6891437410428982,0.6317463420108658
-5,-0.28000000000000025,-0.009824582900272785,0.35535225018711386,0.42638493604287103,0.6693631795618956,0.6116043991345657
-5,-0.2599999999999998,-0.009154639174550077,0.37516719539687926,0.44658479782076815,0.6494441595712536,0.5913498507970192
-5,-0.2400000000000002,-0.008477846983385934,0.3951179922377303,0.46688547303205685,0.6293929605788339,0.5709908048757549
