gamma,q,spread
0.03426666667,9,1.036482416
0.03426666667,10,1.035611904
0.03426666667,11,1.034707491
0.03426666667,12,1.033779408
0.03426666667,13,1.032836811
0.03426666667,14,1.03188773
0.03426666667,15,1.030939064
0.03426666667,16,1.029996633
0.03426666667,17,1.029065251
0.03426666667,18,1.028148824
0.03426666667,19,1.027250444
0.03426666667,20,1.026372496
0.03426666667,21,1.025516758
0.03426666667,22,1.02468449
0.03426666667,23,1.023876519
0.03426666667,24,1.023093313
0.03426666667,25,1.022335048
0.03426666667,26,1.02160166
0.03426666667,27,1.020892899
0.03426666667,28,1.020208366
0.03426666667,29,1.019547547
0.03426666667,30,1.018909842
0.0509,-30,1.016380663
0.0509,-29,1.0171331
0.0509,-28,1.017919343
0.0509,-27,1.018741087
0.0509,-26,1.019600042
0.0509,-25,1.020497915
0.0509,-24,1.021436369
0.0509,-23,1.022416985
0.0509,-22,1.023441199
0.0509,-21,1.024510233
0.0509,-20,1.025624997
0.0509,-19,1.026785975
0.0509,-18,1.027993072
0.0509,-17,1.029245442
0.0509,-16,1.030541267
0.0509,-15,1.0318775
0.0509,-14,1.033249574
0.0509,-13,1.034651069
0.0509,-12,1.03607336
0.0509,-11,1.037505259
0.0509,-10,1.038932696
0.0509,-9,1.040338476
0.0509,-8,1.041702193
0.0509,-7,1.043000369
0.0509,-6,1.044206919
0.0509,-5,1.045293999
0.0509,-4,1.046233278
0.0509,-3,1.046997604
0.0509,-2,1.047562927
0.0509,-1,1.04791027
0.0509,0,1.048027452
0.0509,1,1.04791027
0.0509,2,1.047562927
0.0509,3,1.046997604
0.0509,4,1.046233278
0.0509,5,1.045293999
0.0509,6,1.044206919
0.0509,7,1.043000369
0.0509,8,1.041702193
0.0509,9,1.040338476
0.0509,10,1.038932696
0.0509,11,1.037505259
0.0509,12,1.03607336
0.0509,13,1.034651069
0.0509,14,1.033249574
0.0509,15,1.0318775
0.0509,16,1.030541267
0.0509,17,1.029245442
0.0509,18,1.027993072
0.0509,19,1.026785975
0.0509,20,1.025624997
0.0509,21,1.024510233
0.0509,22,1.023441199
0.0509,23,1.022416985
0.0509,24,1.021436369
0.0509,25,1.020497915
0.0509,26,1.019600042
0.0509,27,1.018741087
0.0509,28,1.017919343
0.0509,29,1.0171331
0.0509,30,1.016380663
0.06753333333,-30,1.013246838
0.06753333333,-29,1.014070868
0.06753333333,-28,1.014936237
0.06753333333,-27,1.015845565
0.06753333333,-26,1.016801608
0.06753333333,-25,1.017807249
0.06753333333,-24,1.018865481
0.06753333333,-23,1.019979374
0.06753333333,-22,1.021152031
0.06753333333,-21,1.022386525
0.06753333333,-20,1.023685809
0.06753333333,-19,1.025052588
0.06753333333,-18,1.02648916
0.06753333333,-17,1.027997188
0.06753333333,-16,1.029577416
0.06753333333,-15,1.0312293
0.06753333333,-14,1.032950535
0.06753333333,-13,1.034736485
0.06753333333,-12,1.03657949
0.06753333333,-11,1.038468071
0.06753333333,-10,1.040386062
0.06753333333,-9,1.042311738
0.06753333333,-8,1.04421706
0.06753333333,-7,1.046067219
0.06753333333,-6,1.047820735
0.06753333333,-5,1.049430381
0.06753333333,-4,1.050845209
0.06753333333,-3,1.052013783
0.06753333333,-2,1.052888496
0.06753333333,-1,1.053430454
0.06753333333,0,1.053614084
0.06753333333,1,1.053430454
0.06753333333,2,1.052888496
0.06753333333,3,1.052013783
0.06753333333,4,1.050845209
0.06753333333,5,1.049430381
0.06753333333,6,1.047820735
0.06753333333,7,1.046067219
0.06753333333,8,1.04421706
0.06753333333,9,1.042311738
0.06753333333,10,1.040386062
0.06753333333,11,1.038468071
0.06753333333,12,1.03657949
0.06753333333,13,1.034736485
0.06753333333,14,1.032950535
0.06753333333,15,1.0312293
0.06753333333,16,1.029577416
0.06753333333,17,1.027997188
0.06753333333,18,1.02648916
0.06753333333,19,1.025052588
0.06753333333,20,1.023685809
0.06753333333,21,1.022386525
0.06753333333,22,1.021152031
0.06753333333,23,1.019979374
0.06753333333,24,1.018865481
0.06753333333,25,1.017807249
0.06753333333,26,1.016801608
0.06753333333,27,1.015845565
0.06753333333,28,1.014936237
0.06753333333,29,1.014070868
