tau,q,bid_depth
60,-30,-0.2467248711
60,-29,-0.2247186847
60,-28,-0.2024364396
60,-27,-0.1798790476
60,-26,-0.1570479449
60,-25,-0.1339451231
60,-24,-0.1105731598
60,-23,-0.08693524757
60,-22,-0.06303522171
60,-21,-0.03887758562
60,-20,-0.01446753352
60,-19,0.0101890297
60,-18,0.03508547229
60,-17,0.06021442341
60,-16,0.08556776534
60,-15,0.1111366306
60,-14,0.1369114045
60,-13,0.1628817328
60,-12,0.1890365361
60,-11,0.2153640299
60,-10,0.2418517505
60,-9,0.268486588
60,-8,0.2952548251
60,-7,0.3221421819
60,-6,0.3491338668
60,-5,0.3762146325
60,-4,0.403368837
60,-3,0.4305805092
60,-2,0.4578334182
60,-1,0.4851111451
60,0,0.5123971572
60,1,0.539674884
60,2,0.566927793
60,3,0.5941394653
60,4,0.6212936697
60,5,0.6483744354
60,6,0.6753661203
60,7,0.7022534771
60,8,0.7290217142
60,9,0.7556565517
60,10,0.7821442723
60,11,0.8084717661
60,12,0.8346265694
60,13,0.8605968978
60,14,0.8863716716
60,15,0.9119405369
60,16,0.9372938788
60,17,0.9624228299
60,18,0.9873192725
60,19,1.011975836
60,20,1.036385888
60,21,1.060543524
60,22,1.08444355
60,23,1.108081462
60,24,1.131453425
60,25,1.154556247
60,26,1.17738735
60,27,1.199944742
60,28,1.222226987
60,29,1.244233173
60,30,1.265962881
70,-30,-0.2654637919
70,-29,-0.243243044
70,-28,-0.2207187069
70,-27,-0.1978906829
70,-26,-0.1747594557
70,-25,-0.1513261343
70,-24,-0.1275924966
70,-23,-0.1035610324
70,-22,-0.07923498447
70,-21,-0.0546183883
70,-20,-0.02971610857
70,-19,-0.004533872423
70,-18,0.02092170141
70,-17,0.04664307849
70,-16,0.07262179016
70,-15,0.09884842141
70,-14,0.1253126059
70,-13,0.1520030287
70,-12,0.178907437
70,-11,0.2060126598
70,-10,0.2333046367
70,-9,0.2607684552
70,-8,0.2883883979
70,-7,0.3161479983
70,-6,0.3440301055
70,-5,0.3720169567
