tau,q,spread
70,14,1.021905623
70,15,1.021702522
70,16,1.021490874
70,17,1.021271507
70,18,1.021045238
70,19,1.020812863
70,20,1.020575158
70,21,1.020332869
70,22,1.020086711
70,23,1.019837365
70,24,1.019585478
70,25,1.019331655
70,26,1.019076468
70,27,1.018820447
70,28,1.018564085
70,29,1.018307836
70,30,1.018052118
80,-30,1.018081591
80,-29,1.018342944
80,-28,1.018605131
80,-27,1.018867734
80,-26,1.019130292
80,-25,1.019392305
80,-24,1.01965323
80,-23,1.019912483
80,-22,1.020169435
80,-21,1.020423419
80,-20,1.020673722
80,-19,1.020919596
80,-18,1.021160256
80,-17,1.021394882
80,-16,1.021622628
80,-15,1.021842624
80,-14,1.022053982
80,-13,1.022255806
80,-12,1.022447197
80,-11,1.022627265
80,-10,1.022795136
80,-9,1.022949962
80,-8,1.023090935
80,-7,1.023217294
80,-6,1.023328337
80,-5,1.023423433
80,-4,1.023502027
80,-3,1.023563654
80,-2,1.023607944
80,-1,1.023634627
80,0,1.023643539
80,1,1.023634627
80,2,1.023607944
80,3,1.023563654
80,4,1.023502027
80,5,1.023423433
80,6,1.023328337
80,7,1.023217294
80,8,1.023090935
80,9,1.022949962
80,10,1.022795136
80,11,1.022627265
80,12,1.022447197
80,13,1.022255806
80,14,1.022053982
80,15,1.021842624
80,16,1.021622628
80,17,1.021394882
80,18,1.021160256
80,19,1.020919596
80,20,1.020673722
80,21,1.020423419
80,22,1.020169435
80,23,1.019912483
80,24,1.01965323
80,25,1.019392305
80,26,1.019130292
80,27,1.018867734
80,28,1.018605131
80,29,1.018342944
80,30,1.018081591
90,-30,1.018094844
90,-29,1.018359023
90,-28,1.018624198
90,-27,1.018889949
90,-26,1.019155813
90,-25,1.019421289
90,-24,1.019685827
90,-23,1.019948837
90,-22,1.02020968
90,-21,1.020467676
90,-20,1.0207221
90,-19,1.020972185
90,-18,1.021217126
90,-17,1.021456082
90,-16,1.021688179
90,-15,1.021912519
90,-14,1.022128184
90,-13,1.022334245
90,-12,1.022529767
90,-11,1.022713824
90,-10,1.022885503
90,-9,1.02304392
90,-8,1.023188229
90,-7,1.023317631
90,-6,1.023431392
90,-5,1.023528846
90,-4,1.023609412
90,-3,1.0236726
90,-2,1.023718019
90,-1,1.023745385
90,0,1.023754526
90,1,1.023745385
90,2,1.023718019
90,3,1.0236726
90,4,1.023609412
90,5,1.023528846
90,6,1.023431392
90,7,1.023317631
90,8,1.023188229
90,9,1.02304392
90,10,1.022885503
90,11,1.022713824
90,12,1.022529767
90,13,1.022334245
90,14,1.022128184
90,15,1.021912519
90,16,1.021688179
90,17,1.021456082
90,18,1.021217126
90,19,1.020972185
90,20,1.0207221
90,21,1.020467676
90,22,1.02020968
90,23,1.019948837
90,24,1.019685827
90,25,1.019421289
90,26,1.019155813
