tau,q,bid_depth
8.332500000000000000e+02,-1.900000000000000000e+01,-4.538759742736608871e-02
8.332500000000000000e+02,-1.800000000000000000e+01,-1.859541912507101102e-02
8.332500000000000000e+02,-1.700000000000000000e+01,8.578879834833408324e-03
8.332500000000000000e+02,-1.600000000000000000e+01,3.612732579745481232e-02
8.332500000000000000e+02,-1.500000000000000000e+01,6.404016525729749887e-02
8.332500000000000000e+02,-1.400000000000000000e+01,9.230580257013309975e-02
8.332500000000000000e+02,-1.300000000000000000e+01,1.209107565748799296e-01
8.332500000000000000e+02,-1.200000000000000000e+01,1.498396385197944269e-01
8.332500000000000000e+02,-1.100000000000000000e+01,1.790751532649779154e-01
8.332500000000000000e+02,-1.000000000000000000e+01,2.085981252245383555e-01
8.332500000000000000e+02,-9.000000000000000000e+00,2.383875499410561538e-01
8.332500000000000000e+02,-8.000000000000000000e+00,2.684206715798957976e-01
8.332500000000000000e+02,-7.000000000000000000e+00,2.986730860170362378e-01
8.332500000000000000e+02,-6.000000000000000000e+00,3.291188685950757753e-01
8.332500000000000000e+02,-5.000000000000000000e+00,3.597307250569416470e-01
8.332500000000000000e+02,-4.000000000000000000e+00,3.904801636500796480e-01
8.332500000000000000e+02,-3.000000000000000000e+00,4.213376859355142390e-01
8.332500000000000000e+02,-2.000000000000000000e+00,4.522729934429335907e-01
8.332500000000000000e+02,-1.000000000000000000e+00,4.832552069885637236e-01
8.332500000000000000e+02,0.000000000000000000e+00,5.142530952192541083e-01
8.332500000000000000e+02,1.000000000000000000e+00,5.452353087648842411e-01
8.332500000000000000e+02,2.000000000000000000e+00,5.761706162723040370e-01
8.332500000000000000e+02,3.000000000000000000e+00,6.070281385577391831e-01
8.332500000000000000e+02,4.000000000000000000e+00,6.377775771508769065e-01
8.332500000000000000e+02,5.000000000000000000e+00,6.683894336127420566e-01
8.332500000000000000e+02,6.000000000000000000e+00,6.988352161907802618e-01
8.332500000000000000e+02,7.000000000000000000e+00,7.290876306279202579e-01
8.332500000000000000e+02,8.000000000000000000e+00,7.591207522667592356e-01
8.332500000000000000e+02,9.000000000000000000e+00,7.889101769832753686e-01
8.332500000000000000e+02,1.000000000000000000e+01,8.184331489428364748e-01
8.332500000000000000e+02,1.100000000000000000e+01,8.476686636880221837e-01
8.332500000000000000e+02,1.200000000000000000e+01,8.765975456329337945e-01
8.332500000000000000e+02,1.300000000000000000e+01,9.052024996376832888e-01
8.332500000000000000e+02,1.400000000000000000e+01,9.334681369505188897e-01
8.332500000000000000e+02,1.500000000000000000e+01,9.613809764103655731e-01
8.332500000000000000e+02,1.600000000000000000e+01,9.889294223729834243e-01
8.332500000000000000e+02,1.700000000000000000e+01,1.016103721332890508e+00
8.332500000000000000e+02,1.800000000000000000e+01,1.042895899635187362e+00
8.332500000000000000e+02,1.900000000000000000e+01,1.069299684987401022e+00
8.332500000000000000e+02,2.000000000000000000e+01,1.095310414678172251e+00
8.332500000000000000e+02,2.100000000000000000e+01,1.120924933483932406e+00
8.332500000000000000e+02,2.200000000000000000e+01,1.146141484202279237e+00
8.332500000000000000e+02,2.300000000000000000e+01,1.170959593604532500e+00
8.332500000000000000e+02,2.400000000000000000e+01,1.195379956369958308e+00
8.332500000000000000e+02,2.500000000000000000e+01,1.219404319272578974e+00
8.332500000000000000e+02,2.600000000000000000e+01,1.243035367562626448e+00
8.332500000000000000e+02,2.700000000000000000e+01,1.266276615139512174e+00
8.332500000000000000e+02,2.800000000000000000e+01,1.289132299772260737e+00
8.332500000000000000e+02,2.900000000000000000e+01,1.311607284299736165e+00
8.332500000000000000e+02,3.000000000000000000e+01,1.333706964449602239e+00
1.000000000000000000e+03,-3.000000000000000000e+01,-3.140989850253657067e-01
1.000000000000000000e+03,-2.900000000000000000e+01,-2.916240005231909294e-01
1.000000000000000000e+03,-2.800000000000000000e+01,-2.687683159110836328e-01
1.000000000000000000e+03,-2.700000000000000000e+01,-2.455270683495562878e-01
1.000000000000000000e+03,-2.600000000000000000e+01,-2.218960200689217288e-01
1.000000000000000000e+03,-2.500000000000000000e+01,-1.978716571691112591e-01
1.000000000000000000e+03,-2.400000000000000000e+01,-1.734512943991948219e-01
1.000000000000000000e+03,-2.300000000000000000e+01,-1.486331849844626518e-01
1.000000000000000000e+03,-2.200000000000000000e+01,-1.234166342449620757e-01
