tau,q,ask_depth
3.333333333333333144e+02,1.400000000000000000e+01,1.501603140114592949e-01
3.333333333333333144e+02,1.500000000000000000e+01,1.254653389391474083e-01
3.333333333333333144e+02,1.600000000000000000e+01,1.009905337936941039e-01
3.333333333333333144e+02,1.700000000000000000e+01,7.674460456531756458e-02
3.333333333333333144e+02,1.800000000000000000e+01,5.273530663405251451e-02
3.333333333333333144e+02,1.900000000000000000e+01,2.896946705580033532e-02
3.333333333333333144e+02,2.000000000000000000e+01,5.453013464859490789e-03
3.333333333333333144e+02,2.100000000000000000e+01,-1.780899152436737909e-02
3.333333333333333144e+02,2.200000000000000000e+01,-4.081231150043801437e-02
3.333333333333333144e+02,2.300000000000000000e+01,-6.355349404941162961e-02
3.333333333333333144e+02,2.400000000000000000e+01,-8.602982611264869961e-02
3.333333333333333144e+02,2.500000000000000000e+01,-1.082392877722934688e-01
3.333333333333333144e+02,2.600000000000000000e+01,-1.301805052344287561e-01
3.333333333333333144e+02,2.700000000000000000e+01,-1.518527036823347776e-01
3.333333333333333144e+02,2.800000000000000000e+01,-1.732556605754715373e-01
3.333333333333333144e+02,2.900000000000000000e+01,-1.943896598761784555e-01
3.333333333333333144e+02,3.000000000000000000e+01,-2.152554475979697179e-01
5.000000000000000000e+02,-3.000000000000000000e+01,1.233362491320562082e+00
5.000000000000000000e+02,-2.900000000000000000e+01,1.212763749929770984e+00
5.000000000000000000e+02,-2.800000000000000000e+01,1.191897962207114192e+00
5.000000000000000000e+02,-2.700000000000000000e+01,1.170763962905359001e+00
5.000000000000000000e+02,-2.600000000000000000e+01,1.149361006010976904e+00
5.000000000000000000e+02,-2.500000000000000000e+01,1.127688807561623596e+00
5.000000000000000000e+02,-2.400000000000000000e+01,1.105747590097824862e+00
5.000000000000000000e+02,-2.300000000000000000e+01,1.083538128436287051e+00
5.000000000000000000e+02,-2.200000000000000000e+01,1.061061796370923238e+00
5.000000000000000000e+02,-2.100000000000000000e+01,1.038320613819577520e+00
5.000000000000000000e+02,-2.000000000000000000e+01,1.015317293840881874e+00
5.000000000000000000e+02,-1.900000000000000000e+01,9.920552888487687015e-01
5.000000000000000000e+02,-1.800000000000000000e+01,9.685388352546744350e-01
5.000000000000000000e+02,-1.700000000000000000e+01,9.447729956729928880e-01
5.000000000000000000e+02,-1.600000000000000000e+01,9.207636977380246890e-01
5.000000000000000000e+02,-1.500000000000000000e+01,8.965177685056653356e-01
5.000000000000000000e+02,-1.400000000000000000e+01,8.720429633559479976e-01
5.000000000000000000e+02,-1.300000000000000000e+01,8.473479882790954099e-01
5.000000000000000000e+02,-1.200000000000000000e+01,8.224425144244102981e-01
5.000000000000000000e+02,-1.100000000000000000e+01,7.973371838234937226e-01
5.000000000000000000e+02,-1.000000000000000000e+01,7.720436052723909093e-01
5.000000000000000000e+02,-9.000000000000000000e+00,7.465743394748578510e-01
5.000000000000000000e+02,-8.000000000000000000e+00,7.209428727131220738e-01
5.000000000000000000e+02,-7.000000000000000000e+00,6.951635785231196074e-01
5.000000000000000000e+02,-6.000000000000000000e+00,6.692516671048724941e-01
5.000000000000000000e+02,-5.000000000000000000e+00,6.432231224898187216e-01
5.000000000000000000e+02,-4.000000000000000000e+00,6.170946278060422951e-01
5.000000000000000000e+02,-3.000000000000000000e+00,5.908834793179563727e-01
5.000000000000000000e+02,-2.000000000000000000e+00,5.646074902543934959e-01
5.000000000000000000e+02,-1.000000000000000000e+00,5.382848857628808048e-01
5.000000000000000000e+02,0.000000000000000000e+00,5.119341906213713544e-01
5.000000000000000000e+02,1.000000000000000000e+00,4.855741115864428692e-01
5.000000000000000000e+02,2.000000000000000000e+00,4.592234164449343625e-01
5.000000000000000000e+02,3.000000000000000000e+00,4.329008119534207832e-01
5.000000000000000000e+02,4.000000000000000000e+00,4.066248228898572403e-01
5.000000000000000000e+02,5.000000000000000000e+00,3.804136744017723171e-01
5.000000000000000000e+02,6.000000000000000000e+00,3.542851797179976669e-01
5.000000000000000000e+02,7.000000000000000000e+00,3.282566351029420626e-01
