tau,q,spread
0.000000000000000000e+00,1.000000000000000000e+00,9.975083022078035100e-01
0.000000000000000000e+00,2.000000000000000000e+00,9.975083022078274908e-01
0.000000000000000000e+00,3.000000000000000000e+00,9.975083022078083950e-01
0.000000000000000000e+00,4.000000000000000000e+00,9.975083022078221617e-01
0.000000000000000000e+00,5.000000000000000000e+00,9.975083022077951833e-01
0.000000000000000000e+00,6.000000000000000000e+00,9.975083022078493622e-01
0.000000000000000000e+00,7.000000000000000000e+00,9.975083022077702033e-01
0.000000000000000000e+00,8.000000000000000000e+00,9.975083022078620187e-01
0.000000000000000000e+00,9.000000000000000000e+00,9.975083022077805284e-01
0.000000000000000000e+00,1.000000000000000000e+01,9.975083022078233830e-01
0.000000000000000000e+00,1.100000000000000000e+01,9.975083022078140571e-01
0.000000000000000000e+00,1.200000000000000000e+01,9.975083022078193862e-01
0.000000000000000000e+00,1.300000000000000000e+01,9.975083022078278239e-01
0.000000000000000000e+00,1.400000000000000000e+01,9.975083022077806394e-01
0.000000000000000000e+00,1.500000000000000000e+01,9.975083022078380379e-01
0.000000000000000000e+00,1.600000000000000000e+01,9.975083022078189421e-01
0.000000000000000000e+00,1.700000000000000000e+01,9.975083022077947392e-01
0.000000000000000000e+00,1.800000000000000000e+01,9.975083022078335970e-01
0.000000000000000000e+00,1.900000000000000000e+01,9.975083022078082839e-01
0.000000000000000000e+00,2.000000000000000000e+01,9.975083022078041761e-01
0.000000000000000000e+00,2.100000000000000000e+01,9.975083022078329309e-01
0.000000000000000000e+00,2.200000000000000000e+01,9.975083022078121697e-01
0.000000000000000000e+00,2.300000000000000000e+01,9.975083022078005124e-01
0.000000000000000000e+00,2.400000000000000000e+01,9.975083022078231609e-01
0.000000000000000000e+00,2.500000000000000000e+01,9.975083022078184980e-01
0.000000000000000000e+00,2.600000000000000000e+01,9.975083022078056194e-01
0.000000000000000000e+00,2.700000000000000000e+01,9.975083022078164996e-01
0.000000000000000000e+00,2.800000000000000000e+01,9.975083022078280459e-01
0.000000000000000000e+00,2.900000000000000000e+01,9.975083022078137240e-01
0.000000000000000000e+00,3.000000000000000000e+01,9.975083022078047312e-01
1.666666666666666572e+02,-3.000000000000000000e+01,1.018106983048686853e+00
1.666666666666666572e+02,-2.900000000000000000e+01,1.018374014172087394e+00
1.666666666666666572e+02,-2.800000000000000000e+01,1.018642209618398686e+00
1.666666666666666572e+02,-2.700000000000000000e+01,1.018911150149165890e+00
1.666666666666666572e+02,-2.600000000000000000e+01,1.019180373716446875e+00
