y,regime,regime_ergodic_ask,regime_ergodic_bid,ansatz_ask,ansatz_bid
-3.92,0,-2.329991694,3.383717971,-1.692370596,2.715980022
-3.88,0,-2.308712047,3.362039571,-1.677641658,2.701251084
-3.84,0,-2.287220897,3.340149705,-1.662908543,2.686517969
-3.8,0,-2.265729747,3.31825984,-1.648170902,2.671780329
-3.76,0,-2.243827112,3.295959277,-1.633428361,2.657037787
-3.72,0,-2.221924477,3.273658715,-1.61868051,2.642289936
-3.68,0,-2.199820905,3.251157938,-1.60392691,2.627536336
-3.64,0,-2.177516396,3.228456946,-1.589167083,2.612776509
-3.6,0,-2.155211886,3.205755955,-1.574400511,2.598009937
-3.56,0,-2.132513421,3.182663067,-1.559626634,2.58323606
-3.52,0,-2.109814956,3.15957018,-1.544844846,2.568454272
-3.48,0,-2.086922719,3.136284836,-1.530054491,2.553663917
-3.44,0,-2.063836709,3.112807035,-1.515254857,2.538864283
-3.4,0,-2.040750699,3.089329235,-1.500445175,2.524054601
-3.36,0,-2.017282193,3.065472108,-1.485624611,2.509234037
-3.32,0,-1.993813688,3.041614982,-1.470792265,2.494401691
-3.28,0,-1.97015584,3.01757035,-1.455947159,2.479556585
-3.24,0,-1.946308648,2.993338211,-1.441088237,2.464697663
-3.2,0,-1.922461457,2.969106073,-1.426214355,2.449823781
-3.16,0,-1.898238241,2.944502062,-1.411324276,2.434933702
-3.12,0,-1.874015026,2.91989805,-1.39641666,2.420026086
-3.08,0,-1.849604594,2.895109123,-1.381490058,2.405099485
-3.04,0,-1.825006944,2.870135281,-1.366542903,2.390152329
-3,0,-1.800409295,2.845161438,-1.351573497,2.375182924
-2.96,0,-1.775437785,2.819818768,-1.336580007,2.360189434
-2.92,0,-1.750466275,2.794476099,-1.321560448,2.345169874
-2.88,0,-1.725307634,2.768949021,-1.306512673,2.3301221
-2.84,0,-1.699961863,2.743237536,-1.291434363,2.31504379
-2.8,0,-1.674616093,2.717526052,-1.276323009,2.299932436
-2.76,0,-1.64889472,2.691444808,-1.2611759,2.284785326
-2.72,0,-1.623173348,2.665363565,-1.245990105,2.269599531
-2.68,0,-1.597263046,2.639096507,-1.230762458,2.254371884
-2.64,0,-1.571163814,2.612643634,-1.215489539,2.239098965
-2.6,0,-1.545064583,2.586190762,-1.200167654,2.22377708
-2.56,0,-1.518584341,2.559363487,-1.184792814,2.20840224
-2.52,0,-1.492104098,2.532536212,-1.169360715,2.192970141
-2.48,0,-1.465431338,2.505519912,-1.15386671,2.177476136
-2.44,0,-1.438566061,2.478314586,-1.138305788,2.161915214
-2.4,0,-1.411700784,2.451109261,-1.122672544,2.14628197
-2.36,0,-1.384445604,2.423521392,-1.106961152,2.130570578
-2.32,0,-1.357190424,2.395933523,-1.091165336,2.114774762
-2.28,0,-1.329737456,2.368151736,-1.075278333,2.098887759
-2.24,0,-1.302086698,2.34017603,-1.059292865,2.082902291
-2.2,0,-1.274435941,2.312200324,-1.043201102,2.066810528
-2.16,0,-1.246383181,2.283830745,-1.026994622,2.050604048
-2.12,0,-1.218330421,2.255461165,-1.010664375,2.034273802
-2.08,0,-1.19007311,2.226891301,-0.9942006443,2.017810071
-2.04,0,-1.161611249,2.198121154,-0.9775929994,2.001202426
-2,0,-1.133149388,2.169351006,-0.9608302578,1.984439684
-1.96,0,-1.104270766,2.140173052,-0.9439004391,1.967509865
-1.92,0,-1.075392145,2.110995098,-0.9267907205,1.950400147
-1.88,0,-1.046301109,2.08160943,-0.9094873919,1.933096818
